Landing type,Timestamp (s),Phase
Comp,1743788132.9465847,Run-up Phase Start
Comp,1743788131.6519103,Static Phase Start
Comp,1743788137.5758617,Injump Phase Start
Comp,1743788137.9457688,Loading Phase Start
Comp,1743788138.0436854,Rebound Phase Start
Comp,1743788138.1416018,Flight Phase Start
Comp,1743788139.3655589,Landing Phase Start
Comp,1743788140.6003954,Landing Phase End
Comp,1743788212.4045625,Run-up Phase Start
Comp,1743788211.2404435,Static Phase Start
Comp,1743788216.9557235,Injump Phase Start
Comp,1743788217.3038714,Loading Phase Start
Comp,1743788217.3909082,Rebound Phase Start
Comp,1743788217.4942646,Flight Phase Start
Comp,1743788218.7127817,Landing Phase Start
Comp,1743788220.4263215,Landing Phase End
Comp,1743788366.2684584,Run-up Phase Start
Comp,1743788364.8649879,Static Phase Start
Comp,1743788370.544148,Injump Phase Start
Comp,1743788370.854217,Loading Phase Start
Comp,1743788370.941254,Rebound Phase Start
Comp,1743788371.0446103,Flight Phase Start
Comp,1743788372.393683,Landing Phase Start
Comp,1743788373.963829,Landing Phase End
Comp,1743788491.882341,Run-up Phase Start
Comp,1743788490.6638238,Static Phase Start
Comp,1743788496.0690348,Injump Phase Start
Comp,1743788496.4171827,Loading Phase Start
Comp,1743788496.5042195,Rebound Phase Start
Comp,1743788496.5966964,Flight Phase Start
Comp,1743788497.967528,Landing Phase Start
Comp,1743788499.958498,Landing Phase End
Semi,1743788742.6119368,Run-up Phase Start
Semi,1743788741.1546063,Static Phase Start
Semi,1743788747.0483913,Injump Phase Start
Semi,1743788747.4472957,Loading Phase Start
Semi,1743788747.5217578,Rebound Phase Start
Semi,1743788747.6228137,Flight Phase Start
Semi,1743788748.8780327,Landing Phase Start
Semi,1743788749.9630525,Landing Phase End
Semi,1743788802.4739692,Run-up Phase Start
Semi,1743788800.6283717,Static Phase Start
Semi,1743788806.8246858,Injump Phase Start
Semi,1743788807.1969965,Loading Phase Start
Semi,1743788807.2767775,Rebound Phase Start
Semi,1743788807.3884706,Flight Phase Start
Semi,1743788808.6649644,Landing Phase Start
Semi,1743788810.0325148,Landing Phase End
Semi,1743788887.5480323,Run-up Phase Start
Semi,1743788886.1385703,Static Phase Start
Semi,1743788891.686638,Injump Phase Start
Semi,1743788892.05363,Loading Phase Start
Semi,1743788892.133411,Rebound Phase Start
Semi,1743788892.2397854,Flight Phase Start
Semi,1743788893.5907414,Landing Phase Start
Semi,1743788894.7449048,Landing Phase End
Semi,1743789005.2503433,Run-up Phase Start
Semi,1743789003.8462,Static Phase Start
Semi,1743789009.4846861,Injump Phase Start
Semi,1743789009.8676343,Loading Phase Start
Semi,1743789009.9580526,Rebound Phase Start
Semi,1743789010.0591083,Flight Phase Start
Semi,1743789011.457933,Landing Phase Start
Semi,1743789013.0588691,Landing Phase End
Soft,1743789090.8205378,Run-up Phase Start
Soft,1743789089.559199,Static Phase Start
Soft,1743789095.2243807,Injump Phase Start
Soft,1743789095.6376703,Loading Phase Start
Soft,1743789095.7289162,Rebound Phase Start
Soft,1743789095.8255293,Flight Phase Start
Soft,1743789097.0976026,Landing Phase Start
Soft,1743789098.369676,Landing Phase End
Soft,1743789176.0885317,Run-up Phase Start
Soft,1743789174.6715386,Static Phase Start
Soft,1743789180.6347182,Injump Phase Start
Soft,1743789181.0158036,Loading Phase Start
Soft,1743789181.101682,Rebound Phase Start
Soft,1743789181.198295,Flight Phase Start
Soft,1743789182.5133076,Landing Phase Start
Soft,1743789183.589364,Landing Phase End
Soft,1743789302.8862348,Run-up Phase Start
Soft,1743789301.8288572,Static Phase Start
Soft,1743789307.131847,Injump Phase Start
Soft,1743789307.4914627,Loading Phase Start
Soft,1743789307.577341,Rebound Phase Start
Soft,1743789307.6739542,Flight Phase Start
Soft,1743789309.0533755,Landing Phase Start
Soft,1743789310.4220622,Landing Phase End
Soft,1743789419.3841145,Run-up Phase Start
Soft,1743789418.1710823,Static Phase Start
Soft,1743789423.6323032,Injump Phase Start
Soft,1743789423.9972863,Loading Phase Start
Soft,1743789424.07243,Rebound Phase Start
Soft,1743789424.169043,Flight Phase Start
Soft,1743789425.5753014,Landing Phase Start
Soft,1743789426.6326787,Landing Phase End
