Landing type,Timestamp (ms),Phase
Comp,1743788104.2530844,Run-up Phase Start
Comp,1743788102.81037,Static Phase Start
Comp,1743788108.73805,Injump Phase Start
Comp,1743788109.1683333,Loading Phase Start
Comp,1743788109.2411017,Rebound Phase Start
Comp,1743788109.3486724,Flight Phase Start
Comp,1743788110.6395223,Landing Phase Start
Comp,1743788111.4652867,Landing Phase End
Comp,1743788192.0505981,Run-up Phase Start
Comp,1743788190.418053,Static Phase Start
Comp,1743788196.3488963,Injump Phase Start
Comp,1743788196.772852,Loading Phase Start
Comp,1743788196.8519483,Rebound Phase Start
Comp,1743788196.9531913,Flight Phase Start
Comp,1743788198.2029111,Landing Phase Start
Comp,1743788199.1963594,Landing Phase End
Comp,1743788337.9118373,Run-up Phase Start
Comp,1743788336.4279928,Static Phase Start
Comp,1743788341.9687865,Injump Phase Start
Comp,1743788342.3769228,Loading Phase Start
Comp,1743788342.456019,Rebound Phase Start
Comp,1743788342.5509343,Flight Phase Start
Comp,1743788343.8607674,Landing Phase Start
Comp,1743788345.2465327,Landing Phase End
Comp,1743788448.3480003,Run-up Phase Start
Comp,1743788446.8040426,Static Phase Start
Comp,1743788452.2666364,Injump Phase Start
Comp,1743788452.671609,Loading Phase Start
Comp,1743788452.7538688,Rebound Phase Start
Comp,1743788452.8392928,Flight Phase Start
Comp,1743788454.1079957,Landing Phase Start
Comp,1743788455.3956819,Landing Phase End
Semi,1743788715.011696,Run-up Phase Start
Semi,1743788712.796845,Static Phase Start
Semi,1743788721.5051746,Injump Phase Start
Semi,1743788721.943916,Loading Phase Start
Semi,1743788722.0284927,Rebound Phase Start
Semi,1743788722.1236415,Flight Phase Start
Semi,1743788723.3977091,Landing Phase Start
Semi,1743788724.2519333,Landing Phase End
Semi,1743788784.3703406,Run-up Phase Start
Semi,1743788783.9389997,Static Phase Start
Semi,1743788788.7845285,Injump Phase Start
Semi,1743788789.2370136,Loading Phase Start
Semi,1743788789.3300478,Rebound Phase Start
Semi,1743788789.4315398,Flight Phase Start
Semi,1743788790.7805374,Landing Phase Start
Semi,1743788791.7193384,Landing Phase End
Semi,1743788860.666121,Run-up Phase Start
Semi,1743788859.1733432,Static Phase Start
Semi,1743788864.6109085,Injump Phase Start
Semi,1743788865.0380206,Loading Phase Start
Semi,1743788865.1225972,Rebound Phase Start
Semi,1743788865.2198603,Flight Phase Start
Semi,1743788866.5350273,Landing Phase Start
Semi,1743788867.351192,Landing Phase End
Semi,1743788975.604922,Run-up Phase Start
Semi,1743788973.807668,Static Phase Start
Semi,1743788979.665077,Injump Phase Start
Semi,1743788980.0995896,Loading Phase Start
Semi,1743788980.188395,Rebound Phase Start
Semi,1743788980.2867155,Flight Phase Start
Semi,1743788981.691745,Landing Phase Start
Semi,1743788982.7922988,Landing Phase End
Soft,1743789074.027657,Run-up Phase Start
Soft,1743789072.311124,Static Phase Start
Soft,1743789079.2514439,Injump Phase Start
Soft,1743789079.6755285,Loading Phase Start
Soft,1743789079.752055,Rebound Phase Start
Soft,1743789079.8604677,Flight Phase Start
Soft,1743789081.1390986,Landing Phase Start
Soft,1743789082.414541,Landing Phase End
Soft,1743789163.4108741,Run-up Phase Start
Soft,1743789162.068471,Static Phase Start
Soft,1743789167.6978488,Injump Phase Start
Soft,1743789168.1251218,Loading Phase Start
Soft,1743789168.1984599,Rebound Phase Start
Soft,1743789168.3132496,Flight Phase Start
Soft,1743789169.604635,Landing Phase Start
Soft,1743789170.6313663,Landing Phase End
Soft,1743789275.4108741,Run-up Phase Start
Soft,1743789274.3171823,Static Phase Start
Soft,1743789279.4459486,Injump Phase Start
Soft,1743789279.8668447,Loading Phase Start
Soft,1743789279.943371,Rebound Phase Start
Soft,1743789280.042218,Flight Phase Start
Soft,1743789281.3399806,Landing Phase Start
Soft,1743789282.6345546,Landing Phase End
Soft,1743789392.5396407,Run-up Phase Start
Soft,1743789391.4969666,Static Phase Start
Soft,1743789396.6416762,Injump Phase Start
Soft,1743789397.0753264,Loading Phase Start
Soft,1743789397.151853,Rebound Phase Start
Soft,1743789397.2506998,Flight Phase Start
Soft,1743789398.650498,Landing Phase Start
Soft,1743789400.2239685,Landing Phase End
