Landing type,Timestamp (s),Phase
Comp,1743791619.4439094,Run-up Phase Start
Comp,1743791619.0006084,Static Phase Start
Comp,1743791623.341594,Injump Phase Start
Comp,1743791623.8007271,Loading Phase Start
Comp,1743791623.879888,Rebound Phase Start
Comp,1743791623.9907134,Flight Phase Start
Comp,1743791625.3364484,Landing Phase Start
Comp,1743791626.428869,Landing Phase End
Comp,1743791734.023565,Run-up Phase Start
Comp,1743791733.3744457,Static Phase Start
Comp,1743791737.963403,Injump Phase Start
Comp,1743791738.4288692,Loading Phase Start
Comp,1743791738.5238621,Rebound Phase Start
Comp,1743791738.6220217,Flight Phase Start
Comp,1743791739.936884,Landing Phase Start
Comp,1743791740.8994803,Landing Phase End
Comp,1743791837.4472737,Run-up Phase Start
Comp,1743791836.5290074,Static Phase Start
Comp,1743791841.27312,Injump Phase Start
Comp,1743791841.7575846,Loading Phase Start
Comp,1743791841.8367455,Rebound Phase Start
Comp,1743791841.9412377,Flight Phase Start
Comp,1743791843.3249702,Landing Phase Start
Comp,1743791844.291525,Landing Phase End
Comp,1743791929.934905,Run-up Phase Start
Comp,1743791928.959643,Static Phase Start
Comp,1743791933.7037551,Injump Phase Start
Comp,1743791934.1692212,Loading Phase Start
Comp,1743791934.2515485,Rebound Phase Start
Comp,1743791934.356041,Flight Phase Start
Comp,1743791935.8197258,Landing Phase Start
Comp,1743791937.1496289,Landing Phase End
Semi,1743792182.8222816,Run-up Phase Start
Semi,1743792181.5095804,Static Phase Start
Semi,1743792186.889636,Injump Phase Start
Semi,1743792187.342668,Loading Phase Start
Semi,1743792187.4245415,Rebound Phase Start
Semi,1743792187.5309765,Flight Phase Start
Semi,1743792188.8163867,Landing Phase Start
Semi,1743792190.453852,Landing Phase End
Semi,1743792242.0908806,Run-up Phase Start
Semi,1743792240.6117036,Static Phase Start
Semi,1743792245.9789872,Injump Phase Start
Semi,1743792246.4320192,Loading Phase Start
Semi,1743792246.524809,Rebound Phase Start
Semi,1743792246.6230567,Flight Phase Start
Semi,1743792247.940343,Landing Phase Start
Semi,1743792249.0319865,Landing Phase End
Semi,1743792308.8354905,Run-up Phase Start
Semi,1743792307.8748443,Static Phase Start
Semi,1743792312.5680382,Injump Phase Start
Semi,1743792313.0565486,Loading Phase Start
Semi,1743792313.141151,Rebound Phase Start
Semi,1743792313.242128,Flight Phase Start
Semi,1743792314.7076592,Landing Phase Start
Semi,1743792315.9703634,Landing Phase End
Semi,1743792397.768846,Run-up Phase Start
Semi,1743792396.819116,Static Phase Start
Semi,1743792401.575079,Injump Phase Start
Semi,1743792402.028111,Loading Phase Start
Semi,1743792402.1127133,Rebound Phase Start
Semi,1743792402.2109613,Flight Phase Start
Semi,1743792403.6838067,Landing Phase Start
Semi,1743792404.8327615,Landing Phase End
Soft,1743792499.627596,Run-up Phase Start
Soft,1743792498.419073,Static Phase Start
Soft,1743792503.817582,Injump Phase Start
Soft,1743792504.2714376,Loading Phase Start
Soft,1743792504.3505986,Rebound Phase Start
Soft,1743792504.4561465,Flight Phase Start
Soft,1743792505.7623012,Landing Phase Start
Soft,1743792507.1420755,Landing Phase End
Soft,1743792608.59072,Run-up Phase Start
Soft,1743792607.2924814,Static Phase Start
Soft,1743792612.485172,Injump Phase Start
Soft,1743792612.9231958,Loading Phase Start
Soft,1743792613.0049953,Rebound Phase Start
Soft,1743792613.1184592,Flight Phase Start
Soft,1743792614.5087886,Landing Phase Start
Soft,1743792615.5484352,Landing Phase End
Soft,1743792686.9943087,Run-up Phase Start
Soft,1743792685.9150817,Static Phase Start
Soft,1743792691.3241458,Injump Phase Start
Soft,1743792691.5906541,Loading Phase Start
Soft,1743792691.7014792,Rebound Phase Start
Soft,1743792691.8386915,Flight Phase Start
Soft,1743792692.4218435,Landing Phase Start
Soft,1743792693.234562,Landing Phase End
Soft,1743792766.4903176,Run-up Phase Start
Soft,1743792765.4219093,Static Phase Start
Soft,1743792770.165758,Injump Phase Start
Soft,1743792770.6829424,Loading Phase Start
Soft,1743792770.756826,Rebound Phase Start
Soft,1743792770.859735,Flight Phase Start
Soft,1743792771.809666,Landing Phase Start
Soft,1743792773.026105,Landing Phase End
Soft,1743792920.9363894,Run-up Phase Start
Soft,1743792920.0577035,Static Phase Start
Soft,1743792924.7543192,Injump Phase Start
Soft,1743792925.1712332,Loading Phase Start
Soft,1743792925.250394,Rebound Phase Start
Soft,1743792925.3585806,Flight Phase Start
Soft,1743792926.8729286,Landing Phase Start
Soft,1743792928.0972838,Landing Phase End
Soft,1743793059.176379,Run-up Phase Start
Soft,1743793058.0259073,Static Phase Start
Soft,1743793062.983754,Injump Phase Start
Soft,1743793063.400668,Loading Phase Start
Soft,1743793063.4877448,Rebound Phase Start
Soft,1743793063.5959315,Flight Phase Start
Soft,1743793065.0155501,Landing Phase Start
Soft,1743793065.82563,Landing Phase End
